Station,Network,Latitude,Longitude
ASTM,NP,28.2942,83.9077
BENI,NP,28.3422,83.5627
BHIM,NP,27.9777,84.0818
BLGN,NP,28.2654,83.6011
BNDP,NP,27.9385,84.4072
BNGT,NP,27.8081,84.7694
BSSR,NP,28.2287,84.3785
BTTO,NP,28.4934,83.6505
CHAM,NP,28.55,84.2557
DAML,NP,27.976,84.267
DANA,NP,28.5315,83.6499
DDNK,NP,28.1709,84.0564
DNGY,NP,28.5311,84.3199
GAGT,NP,28.4142,84.407
GRKH,NP,27.9869,84.6236
JHRK,NP,28.8168,83.849
JMSM,NP,28.7848,83.738
KGBN,NP,28.8354,83.786
KBNG,NP,28.6921,83.6179
KLKM,NP,28.4459,83.6162
KRTP,NP,27.6705,85.2691
KURT,NP,27.8707,84.6265
KUSM,NP,28.2202,83.6787
LMNG,NP,28.6378,84.091
LUML,NP,28.2977,83.8171
MARS,NP,28.2902,84.37
MOHA,NP,27.6993,85.3229
PSNG,NP,28.6116,84.1549
RMGT,NP,28.2095,83.9961
RPKT,NP,28.1554,84.148
SNDR,NP,28.1338,84.4054
SYNG,NP,28.7749,83.7056
SYNJ,NP,28.1041,83.877
TALG,NP,28.4701,84.2747
TPNI,NP,28.3658,83.5035
TRKM,NP,28.2387,84.094
UMNG,NP,28.663,84.0244
WLNG,NP,27.9828,83.7641
TRKM2,NP,28.2387,84.094
DDNK2,NP,28.1709,84.0564
RMG2,NP,28.2142,83.9827
LMNG2,NP,28.6362,84.0949